Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675373011.2571697,0,77011,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.4,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373012.2497785,0,77012,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.4,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373013.2671978,0,77013,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.4,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373014.2722247,0,77014,0,GPS1_frame,62.32039999999961,22.67780000000039,11.1,1.4,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373015.2662668,0,77015,0,GPS1_frame,62.32039999999961,22.67780000000039,11.0,1.4,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373016.2651112,0,77016,0,GPS1_frame,62.32039999999961,22.67780000000039,11.0,1.4,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373017.2523427,0,77017,0,GPS1_frame,62.32039999999961,22.67780000000039,11.0,1.4,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373018.2599652,0,77018,0,GPS1_frame,62.32039999999961,22.67780000000039,11.0,1.4,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373019.30058,0,77019,0,GPS1_frame,62.32039999999961,22.67780000000039,11.0,1.4,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373020.2762277,0,77020,0,GPS1_frame,62.32039999999961,22.67780000000039,11.0,1.4,586947.3039138027,6911001.332617603,21.0:23.0,34,V
1675373021.3085148,0,77021,0,GPS1_frame,62.32049999999981,22.67780000000039,11.0,1.4,586947.0150034742,6911012.470522253,21.0:23.0,34,V
1675373022.2522638,0,77022,0,GPS1_frame,62.32049999999981,22.67780000000039,11.0,1.4,586947.0150034742,6911012.470522253,21.0:23.0,34,V
